iter	RMSE
0	28668.54946
1	28625.12519
2	28591.09491
3	28562.49719
4	28532.72999
5	28511.34571
6	28492.0009
7	28476.22006
8	28460.26135
9	28447.36154
10	28434.05785
11	28424.61499
12	28414.45639
13	28405.93376
14	28397.73145
15	28391.1816
16	28384.41531
17	28378.4151
18	28368.8687
19	28358.33111
20	28354.75482
21	28348.606
22	28343.92464
23	28338.83436
24	28336.48674
25	28329.83781
26	28323.89439
27	28323.30264
28	28322.79385
29	28319.84373
30	28314.96872
31	28310.15481
32	28304.53298
33	28302.81949
34	28301.77256
35	28300.5163
36	28298.7981
37	28294.3772
38	28292.08197
39	28291.98107
40	28290.94142
41	28289.18819
42	28288.18061
43	28286.31548
44	28285.62358
45	28283.69146
46	28282.47525
47	28282.29419
48	28280.42226
49	28280.42226
50	28278.91454
51	28277.10112
52	28276.80288
53	28275.14592
54	28274.41942
55	28274.02793
56	28273.29494
57	28271.42994
58	28270.61548
59	28270.4489
60	28269.82056
61	28269.54234
62	28268.85355
63	28268.73183
64	28268.58255
65	28268.33983
66	28267.35949
67	28267.04775
68	28266.7772
69	28266.7772
70	28266.0399
71	28264.50533
72	28264.15537
73	28261.98548
74	28261.9846
75	28260.65255
76	28259.88671
77	28259.88286
78	28258.39688
79	28258.30293
80	28257.65848
81	28257.52842
82	28257.14998
83	28257.14301
84	28256.69169
85	28256.20474
86	28255.94852
87	28254.10534
88	28253.78841
89	28253.782
90	28253.71344
91	28253.66374
92	28253.34886
93	28253.19701
94	28253.11202
95	28253.11202
96	28252.7373
97	28251.23068
98	28250.48702
99	28249.6717
100	28249.33623
101	28248.95894
102	28245.6814
103	28245.39987
104	28245.39987
105	28244.66731
106	28244.66731
107	28244.42147
108	28244.11041
109	28242.3412
110	28242.31789
111	28242.26059
112	28242.26059
113	28242.25314
114	28241.64558
115	28240.67413
116	28239.9694
117	28239.91907
118	28239.51208
119	28239.13429
120	28238.78796
121	28238.58817
122	28238.55462
123	28238.11759
124	28238.11758
125	28238.11758
126	28237.95925
127	28237.23931
128	28236.9842
129	28236.91427
130	28235.46061
131	28235.3558
132	28234.87549
133	28234.65324
134	28233.12098
135	28232.54499
136	28230.46903
137	28229.31899
138	28229.31796
139	28228.84585
140	28228.81193
141	28228.79207
142	28228.69347
143	28226.55222
144	28226.03213
145	28225.37381
146	28223.79808
147	28223.79808
148	28223.59531
149	28222.60524
150	28221.64294
151	28220.89808
