iter	Passed	Remaining
0	180	90078
1	214	53318
2	233	38678
3	252	31294
4	272	26952
5	289	23808
6	304	21476
7	334	20597
8	363	19852
9	393	19266
10	411	18299
11	425	17318
12	452	16959
13	467	16244
14	498	16121
15	533	16146
16	562	15974
17	577	15451
18	606	15358
19	630	15123
20	661	15084
21	722	15707
22	777	16122
23	807	16009
24	832	15815
25	861	15704
26	876	15350
27	891	15035
28	915	14864
29	938	14709
30	968	14649
31	996	14575
32	1024	14505
33	1053	14442
34	1085	14426
35	1115	14371
36	1135	14210
37	1164	14158
38	1194	14119
39	1210	13924
40	1236	13838
41	1266	13812
42	1286	13670
43	1332	13811
44	1366	13817
45	1388	13703
46	1406	13555
47	1440	13563
48	1456	13408
49	1488	13398
50	1518	13371
51	1544	13308
52	1573	13270
53	1588	13121
54	1613	13051
55	1643	13027
56	1672	12996
57	1702	12975
58	1733	12956
59	1762	12924
60	1777	12794
61	1809	12782
62	1838	12753
63	1850	12606
64	1875	12554
65	1904	12521
66	1911	12352
67	1941	12333
68	1970	12310
69	2001	12297
70	2030	12271
71	2061	12257
72	2084	12194
73	2119	12199
74	2151	12193
75	2191	12224
76	2221	12205
77	2255	12201
78	2292	12218
79	2336	12266
80	2375	12286
81	2416	12316
82	2445	12287
83	2467	12220
84	2502	12215
85	2529	12178
86	2568	12191
87	2592	12136
88	2633	12160
89	2648	12063
90	2663	11971
91	2694	11950
92	2728	11939
93	2770	11965
94	2807	11969
95	2846	11980
96	2875	11944
97	2904	11916
98	2955	11969
99	2996	11985
100	3039	12007
101	3077	12006
102	3112	11997
103	3149	11993
104	3187	11989
105	3224	11984
106	3261	11980
107	3285	11924
108	3296	11824
109	3321	11775
110	3357	11766
111	3390	11746
112	3425	11731
113	3451	11687
114	3498	11712
115	3545	11735
116	3584	11733
117	3619	11716
118	3696	11833
119	3743	11855
120	3781	11843
121	3813	11815
122	3834	11752
123	3864	11718
124	3896	11690
125	3908	11600
126	3947	11593
127	3985	11583
128	4000	11504
129	4044	11512
130	4083	11502
131	4100	11432
132	4146	11440
133	4190	11445
134	4225	11424
135	4255	11390
136	4288	11364
137	4352	11418
138	4380	11377
139	4415	11352
140	4450	11330
141	4488	11316
142	4521	11287
143	4560	11274
144	4602	11268
145	4641	11253
146	4653	11175
147	4666	11099
148	4712	11100
149	4761	11110
150	4813	11125
151	4858	11123
152	4898	11108
153	4924	11065
154	4961	11044
155	4991	11006
156	5025	10979
157	5063	10959
158	5070	10874
159	5084	10803
160	5119	10779
161	5134	10712
162	5164	10677
163	5176	10605
164	5215	10588
165	5252	10568
